,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,1219992.0,861819.0,1219992.0,1224279.0,707261.0,1224279.0,1229738.0,727228.0,1229738.0,0.1
2,1208253.0,826204.0,1208253.0,1264784.0,731167.0,1264784.0,1239723.0,737612.0,1239723.0,0.1
3,1164837.0,900302.0,1164837.0,1215831.0,720820.0,1215831.0,1226411.0,726727.0,1226411.0,0.1
4,1217257.0,885438.0,1217257.0,1221990.0,734695.0,1221990.0,1245104.0,748872.0,1245104.0,0.1
5,1203804.0,871587.0,1203804.0,1274995.0,731652.0,1274995.0,1238653.0,741251.0,1238653.0,0.1
6,1204349.0,868753.0,1204349.0,1233173.0,717553.0,1233173.0,1225082.0,724355.0,1225082.0,0.1
7,1194915.0,816582.0,1194915.0,1219296.0,714290.0,1219296.0,1210898.0,731329.0,1210898.0,0.1
8,1223702.0,731006.0,1223702.0,1251197.0,714913.0,1251197.0,1248769.0,729150.0,1248769.0,0.1
9,1205612.0,917162.0,1205612.0,1235775.0,738434.0,1235775.0,1218630.0,740568.0,1218630.0,0.1
10,1200088.0,886073.0,1200088.0,1238382.0,728575.0,1238382.0,1205820.0,730993.0,1205820.0,0.1
11,1193443.0,905304.0,1193443.0,1252127.0,725094.0,1252127.0,1234746.0,735198.0,1234746.0,0.1
12,1188237.0,920405.0,1188237.0,1220644.0,730640.0,1220644.0,1247044.0,732997.0,1247044.0,0.1
13,1220129.0,726862.0,1220129.0,1233053.0,711789.0,1233053.0,1228764.0,723691.0,1228764.0,0.1
14,1218163.0,737803.0,1218163.0,1250232.0,719772.0,1250232.0,1229606.0,733926.0,1229606.0,0.1
15,1201712.0,847410.0,1201712.0,1257390.0,717626.0,1257390.0,1265952.0,739992.0,1265952.0,0.1
16,1220989.0,745344.0,1220989.0,1265864.0,726007.0,1265864.0,1214027.0,735744.0,1214027.0,0.1
17,1192198.0,894735.0,1192198.0,1257035.0,714890.0,1257035.0,1212352.0,722741.0,1212352.0,0.1
18,1203632.0,905532.0,1203632.0,1251161.0,716466.0,1251161.0,1230801.0,732611.0,1230801.0,0.1
19,1218816.0,888623.0,1218816.0,1237443.0,727220.0,1237443.0,1225178.0,734010.0,1225178.0,0.1
20,1185105.0,900082.0,1185105.0,1241352.0,711427.0,1241352.0,1208992.0,742421.0,1208992.0,0.1
21,1216174.0,746606.0,1216174.0,1237610.0,740422.0,1237610.0,1234447.0,747341.0,1234447.0,0.1
22,1190581.0,879033.0,1190581.0,1234747.0,723164.0,1234747.0,1205258.0,721890.0,1205258.0,0.1
23,1214002.0,738113.0,1214002.0,1270386.0,711570.0,1270386.0,1234485.0,741074.0,1234485.0,0.1
24,1232393.0,813328.0,1232393.0,1228012.0,714119.0,1228012.0,1294624.0,731206.0,1294624.0,0.1
25,1202689.0,841615.0,1202689.0,1245703.0,720731.0,1245703.0,1228341.0,736093.0,1228341.0,0.1
26,1197507.0,899917.0,1197507.0,1241053.0,714176.0,1241053.0,1239132.0,726793.0,1239132.0,0.1
27,1203344.0,902459.0,1203344.0,1225755.0,724148.0,1225755.0,1254232.0,735285.0,1254232.0,0.1
28,1209622.0,860265.0,1209622.0,1233734.0,705353.0,1233734.0,1237129.0,717536.0,1237129.0,0.1
29,1215836.0,831046.0,1215836.0,1220327.0,709740.0,1220327.0,1198999.0,727089.0,1198999.0,0.1
30,1225090.0,875312.0,1225090.0,1269917.0,741574.0,1269917.0,1239961.0,745880.0,1239961.0,0.1
31,1216546.0,718811.0,1216546.0,1239671.0,712917.0,1239671.0,1261677.0,715780.0,1261677.0,0.1
32,1186772.0,906680.0,1186772.0,1223187.0,739403.0,1223187.0,1228900.0,743234.0,1228900.0,0.1
33,1198061.0,896625.0,1198061.0,1263770.0,709104.0,1263770.0,1225161.0,725359.0,1225161.0,0.1
34,1193823.0,852479.0,1193823.0,1248149.0,704505.0,1248149.0,1218003.0,721400.0,1218003.0,0.1
35,1210454.0,836255.0,1210454.0,1248443.0,724255.0,1248443.0,1210374.0,734942.0,1210374.0,0.1
36,1179569.0,886848.0,1179569.0,1212140.0,710231.0,1212140.0,1265536.0,716190.0,1265536.0,0.1
