,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
0,1177157.0,787039.0,1177157.0,1255217.0,783151.0,1255217.0,1314585.0,787881.0,1314585.0
1,1175260.0,767125.0,1175260.0,1287749.0,762354.0,1287749.0,1232420.0,763971.0,1232420.0
2,1130346.0,759372.0,1130346.0,1273259.0,750943.0,1273259.0,1331829.0,752525.0,1331829.0
3,1179279.0,727418.0,1179279.0,1350833.0,729231.0,1350833.0,1319501.0,726841.0,1319501.0
4,1145717.0,713838.0,1145717.0,1185726.0,713404.0,1185726.0,1228135.0,720402.0,1228135.0
5,1163707.0,774651.0,1163707.0,1330501.0,770106.0,1330501.0,1254766.0,769254.0,1254766.0
6,1133396.0,802957.0,1133396.0,1141735.0,789957.0,1141735.0,1135825.0,797426.0,1135825.0
7,1153653.0,739963.0,1153653.0,1337618.0,729108.0,1337618.0,1272950.0,738231.0,1272950.0
8,1133023.0,802195.0,1133023.0,1258144.0,795914.0,1258144.0,1148478.0,797543.0,1148478.0
9,1139830.0,768248.0,1139830.0,1287139.0,758779.0,1287139.0,1220529.0,769069.0,1220529.0
10,1157219.0,750951.0,1157219.0,1125137.0,747682.0,1125137.0,1243713.0,752492.0,1243713.0
11,1095837.0,757255.0,1095837.0,1262011.0,756739.0,1262011.0,1277080.0,752126.0,1277080.0
12,1129304.0,731189.0,1129304.0,1182333.0,714510.0,1182333.0,1287279.0,723907.0,1287279.0
13,1160657.0,784755.0,1160657.0,1183991.0,781349.0,1183991.0,1266963.0,781702.0,1266963.0
14,1171754.0,745197.0,1171754.0,1240070.0,729422.0,1240070.0,1183623.0,729913.0,1183623.0
15,1145807.0,766343.0,1145807.0,1323679.0,758205.0,1323679.0,1330356.0,759010.0,1330356.0
16,1134048.0,733713.0,1134048.0,1229365.0,733749.0,1229365.0,1182741.0,737095.0,1182741.0
17,1104084.0,764069.0,1104084.0,1212522.0,738109.0,1212522.0,1291107.0,768875.0,1291107.0
18,1105942.0,786895.0,1105942.0,1277713.0,785933.0,1277713.0,1288993.0,786611.0,1288993.0
19,1140571.0,765297.0,1140571.0,1238441.0,766115.0,1238441.0,1337559.0,763944.0,1337559.0
20,1124094.0,741383.0,1124094.0,1198791.0,747396.0,1198791.0,1285917.0,738118.0,1285917.0
21,1142282.0,779951.0,1142282.0,1169282.0,764390.0,1169282.0,1260851.0,764328.0,1260851.0
22,1122757.0,725590.0,1122757.0,1217730.0,720702.0,1217730.0,1179117.0,723387.0,1179117.0
23,1183279.0,757012.0,1183279.0,1199271.0,746191.0,1199271.0,1238581.0,746223.0,1238581.0
24,1099685.0,768934.0,1099685.0,1161978.0,773389.0,1161978.0,1146384.0,769694.0,1146384.0
25,1213864.0,763871.0,1213864.0,1218493.0,765680.0,1218493.0,1296107.0,755329.0,1296107.0
26,1117843.0,766036.0,1117843.0,1179413.0,766343.0,1179413.0,1195190.0,764370.0,1195190.0
27,1131914.0,728766.0,1131914.0,1134002.0,723296.0,1134002.0,1236955.0,725884.0,1236955.0
28,1144240.0,716389.0,1144240.0,1267871.0,710307.0,1267871.0,1169621.0,712578.0,1169621.0
29,1145331.0,757920.0,1145331.0,1255244.0,752160.0,1255244.0,1162487.0,755898.0,1162487.0
30,1213287.0,740562.0,1213287.0,1257638.0,746833.0,1257638.0,1376191.0,741962.0,1376191.0
31,1158999.0,794920.0,1158999.0,1200914.0,792562.0,1200914.0,1207232.0,790559.0,1207232.0
32,1174193.0,751445.0,1174193.0,1317387.0,749999.0,1317387.0,1270600.0,751837.0,1270600.0
33,1118439.0,748692.0,1118439.0,1174397.0,736704.0,1174397.0,1301451.0,746188.0,1301451.0
34,1175931.0,726180.0,1175931.0,1278403.0,716453.0,1278403.0,1305579.0,721005.0,1305579.0
35,1101300.0,720302.0,1101300.0,1126844.0,718084.0,1126844.0,1121745.0,718064.0,1121745.0
36,1149746.0,763952.0,1149746.0,1215208.0,764052.0,1215208.0,1240336.0,754071.0,1240336.0
37,1100961.0,793661.0,1100961.0,1125451.0,795674.0,1125451.0,1273716.0,804706.0,1273716.0
38,1124732.0,755663.0,1124732.0,1286120.0,757958.0,1286120.0,1193078.0,755663.0,1193078.0
39,1114469.0,721408.0,1114469.0,1182553.0,717323.0,1182553.0,1246384.0,721168.0,1246384.0
40,1170263.0,745346.0,1170263.0,1182274.0,738735.0,1182274.0,1350950.0,748710.0,1350950.0
41,1172858.0,728409.0,1172858.0,1264042.0,737272.0,1264042.0,1311486.0,725394.0,1311486.0
42,1133698.0,781584.0,1133698.0,1301308.0,768840.0,1301308.0,1212089.0,772085.0,1212089.0
43,1082724.0,756515.0,1082724.0,1137238.0,757385.0,1137238.0,1174358.0,756346.0,1174358.0
44,1131267.0,759231.0,1131267.0,1244577.0,744265.0,1244577.0,1214269.0,750046.0,1214269.0
45,1124947.0,756436.0,1124947.0,1279217.0,747335.0,1279217.0,1260130.0,747831.0,1260130.0
46,1173917.0,755760.0,1173917.0,1242927.0,766260.0,1242927.0,1191085.0,768156.0,1191085.0
47,1126732.0,791017.0,1126732.0,1202356.0,792484.0,1202356.0,1211710.0,778861.0,1211710.0
48,1145693.0,766640.0,1145693.0,1205544.0,756635.0,1205544.0,1317175.0,758430.0,1317175.0
49,1128538.0,773974.0,1128538.0,1249051.0,774434.0,1249051.0,1245098.0,772460.0,1245098.0
50,1106230.0,703841.0,1106230.0,1332487.0,703348.0,1332487.0,1253266.0,707860.0,1253266.0
51,1146604.0,804565.0,1146604.0,1278682.0,787349.0,1278682.0,1156304.0,786532.0,1156304.0
52,1141360.0,743041.0,1141360.0,1317860.0,727636.0,1317860.0,1147628.0,751802.0,1147628.0
53,1215416.0,783048.0,1215416.0,1231233.0,782179.0,1231233.0,1386379.0,780641.0,1386379.0
54,1188886.0,770917.0,1188886.0,1216436.0,771653.0,1216436.0,1256992.0,770917.0,1256992.0
55,1125725.0,797799.0,1125725.0,1194874.0,783950.0,1194874.0,1247640.0,784083.0,1247640.0
56,1109111.0,772488.0,1109111.0,1312938.0,771096.0,1312938.0,1312208.0,770406.0,1312208.0
57,1159246.0,751638.0,1159246.0,1301200.0,745177.0,1301200.0,1173261.0,750270.0,1173261.0
58,1125977.0,747257.0,1125977.0,1153963.0,740416.0,1153963.0,1272710.0,741492.0,1272710.0
59,1118819.0,694571.0,1118819.0,1162624.0,679125.0,1162624.0,1265662.0,691823.0,1265662.0
60,1127030.0,750110.0,1127030.0,1138093.0,749722.0,1138093.0,1237115.0,733333.0,1237115.0
61,1159654.0,746765.0,1159654.0,1284482.0,743792.0,1284482.0,1297647.0,743515.0,1297647.0
62,1200299.0,723425.0,1200299.0,1324374.0,716829.0,1324374.0,1380970.0,715140.0,1380970.0
63,1162616.0,707592.0,1162616.0,1141666.0,704528.0,1141666.0,1305391.0,711355.0,1305391.0
64,1108002.0,729788.0,1108002.0,1265328.0,727184.0,1265328.0,1231177.0,731135.0,1231177.0
65,1144879.0,751305.0,1144879.0,1233093.0,747249.0,1233093.0,1352874.0,758565.0,1352874.0
66,1122192.0,795143.0,1122192.0,1255649.0,778732.0,1255649.0,1286072.0,786793.0,1286072.0
67,1192827.0,774326.0,1192827.0,1310133.0,765894.0,1310133.0,1282783.0,769611.0,1282783.0
68,1099225.0,775379.0,1099225.0,1112527.0,772787.0,1112527.0,1180095.0,776452.0,1180095.0
69,1116960.0,754378.0,1116960.0,1138760.0,751501.0,1138760.0,1291607.0,758102.0,1291607.0
70,1186237.0,725750.0,1186237.0,1238892.0,726979.0,1238892.0,1318213.0,713527.0,1318213.0
71,1137226.0,772163.0,1137226.0,1255498.0,780118.0,1255498.0,1167810.0,758506.0,1167810.0
72,1130724.0,737233.0,1130724.0,1298741.0,734224.0,1298741.0,1325154.0,738510.0,1325154.0
73,1169067.0,764596.0,1169067.0,1330908.0,767824.0,1330908.0,1278582.0,761695.0,1278582.0
74,1131412.0,799745.0,1131412.0,1269964.0,804044.0,1269964.0,1208284.0,800037.0,1208284.0
75,1137090.0,732903.0,1137090.0,1265072.0,714624.0,1265072.0,1253836.0,718242.0,1253836.0
76,1160176.0,732497.0,1160176.0,1246493.0,729454.0,1246493.0,1304678.0,736932.0,1304678.0
77,1162322.0,804505.0,1162322.0,1193619.0,794845.0,1193619.0,1304235.0,801437.0,1304235.0
78,1125083.0,766860.0,1125083.0,1264213.0,769495.0,1264213.0,1329164.0,767407.0,1329164.0
79,1160603.0,750956.0,1160603.0,1228467.0,760404.0,1228467.0,1196229.0,761081.0,1196229.0
80,1141329.0,701912.0,1141329.0,1221827.0,701522.0,1221827.0,1311464.0,701912.0,1311464.0
81,1169754.0,770804.0,1169754.0,1183639.0,762372.0,1183639.0,1254837.0,761722.0,1254837.0
82,1163787.0,717924.0,1163787.0,1269646.0,717924.0,1269646.0,1227784.0,717924.0,1227784.0
83,1149196.0,749695.0,1149196.0,1163720.0,747823.0,1163720.0,1309472.0,750997.0,1309472.0
84,1185676.0,739126.0,1185676.0,1292667.0,749152.0,1292667.0,1324420.0,739275.0,1324420.0
85,1136166.0,753405.0,1136166.0,1191327.0,747175.0,1191327.0,1217314.0,747806.0,1217314.0
86,1123929.0,737152.0,1123929.0,1163260.0,730766.0,1163260.0,1145825.0,735492.0,1145825.0
87,1125254.0,712332.0,1125254.0,1249712.0,707116.0,1249712.0,1117939.0,709418.0,1117939.0
88,1180727.0,774860.0,1180727.0,1391060.0,793246.0,1391060.0,1368600.0,779839.0,1368600.0
89,1127729.0,747725.0,1127729.0,1258458.0,739714.0,1258458.0,1207578.0,744145.0,1207578.0
90,1178028.0,731502.0,1178028.0,1388370.0,729975.0,1388370.0,1327940.0,730093.0,1327940.0
91,1131076.0,759760.0,1131076.0,1251791.0,756455.0,1251791.0,1317552.0,752971.0,1317552.0
92,1138608.0,740840.0,1138608.0,1221948.0,744333.0,1221948.0,1193151.0,741785.0,1193151.0
93,1157473.0,743109.0,1157473.0,1201374.0,739980.0,1201374.0,1161718.0,744873.0,1161718.0
94,1124919.0,781590.0,1124919.0,1308846.0,769073.0,1308846.0,1271686.0,776055.0,1271686.0
95,1131292.0,732279.0,1131292.0,1274108.0,728771.0,1274108.0,1223523.0,725672.0,1223523.0
96,1127134.0,720190.0,1127134.0,1193119.0,719487.0,1193119.0,1178480.0,720523.0,1178480.0
97,1137622.0,763611.0,1137622.0,1223241.0,781931.0,1223241.0,1194129.0,777908.0,1194129.0
98,1132213.0,788141.0,1132213.0,1307241.0,783155.0,1307241.0,1329101.0,784042.0,1329101.0
99,1128624.0,737161.0,1128624.0,1202949.0,736263.0,1202949.0,1139705.0,740287.0,1139705.0
100,1121616.0,759564.0,1121616.0,1131183.0,762389.0,1131183.0,1146049.0,758981.0,1146049.0
101,1148124.0,739606.0,1148124.0,1251569.0,738086.0,1251569.0,1258644.0,740491.0,1258644.0
102,1181219.0,730078.0,1181219.0,1272693.0,728803.0,1272693.0,1314749.0,733320.0,1314749.0
103,1159419.0,773138.0,1159419.0,1270667.0,770719.0,1270667.0,1223569.0,770459.0,1223569.0
104,1139835.0,751937.0,1139835.0,1355045.0,741490.0,1355045.0,1330871.0,740770.0,1330871.0
105,1173866.0,750292.0,1173866.0,1293850.0,750703.0,1293850.0,1251350.0,749965.0,1251350.0
106,1114157.0,776151.0,1114157.0,1200567.0,777527.0,1200567.0,1126062.0,777058.0,1126062.0
107,1184281.0,732910.0,1184281.0,1209724.0,729892.0,1209724.0,1215611.0,748133.0,1215611.0
