,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
0,1154023.0,760355.0,1154023.0,1181441.0,754668.0,1181441.0,1148571.0,767930.0,1148571.0
1,1131570.0,750693.0,1131570.0,1256755.0,744866.0,1256755.0,1160984.0,751810.0,1160984.0
2,1137892.0,748270.0,1137892.0,1318335.0,749787.0,1318335.0,1168867.0,743840.0,1168867.0
3,1155203.0,745841.0,1155203.0,1251531.0,744023.0,1251531.0,1171824.0,746119.0,1171824.0
4,1182242.0,766957.0,1182242.0,1352377.0,766444.0,1352377.0,1298831.0,764514.0,1298831.0
5,1162480.0,769941.0,1162480.0,1172952.0,764367.0,1172952.0,1158349.0,765744.0,1158349.0
6,1134927.0,750044.0,1134927.0,1153943.0,741074.0,1153943.0,1126114.0,748153.0,1126114.0
7,1142786.0,772855.0,1142786.0,1281956.0,786803.0,1281956.0,1136645.0,774195.0,1136645.0
8,1135197.0,728139.0,1135197.0,1178103.0,724905.0,1178103.0,1150934.0,724872.0,1150934.0
9,1151172.0,774672.0,1151172.0,1176396.0,763192.0,1176396.0,1194460.0,779231.0,1194460.0
10,1178709.0,760664.0,1178709.0,1262170.0,782879.0,1262170.0,1172248.0,767058.0,1172248.0
11,1173462.0,779592.0,1173462.0,1317132.0,777278.0,1317132.0,1175939.0,773365.0,1175939.0
12,1156324.0,791698.0,1156324.0,1208847.0,778089.0,1208847.0,1165800.0,799434.0,1165800.0
13,1117628.0,760105.0,1117628.0,1322949.0,790285.0,1322949.0,1124997.0,757740.0,1124997.0
14,1105566.0,757116.0,1105566.0,1192322.0,749009.0,1192322.0,1107021.0,752864.0,1107021.0
15,1148893.0,741620.0,1148893.0,1206022.0,741150.0,1206022.0,1200474.0,738309.0,1200474.0
16,1120884.0,693486.0,1120884.0,1239248.0,684314.0,1239248.0,1123839.0,691369.0,1123839.0
17,1148599.0,765278.0,1148599.0,1236426.0,767033.0,1236426.0,1159354.0,765278.0,1159354.0
18,1155647.0,766604.0,1155647.0,1245670.0,766207.0,1245670.0,1153673.0,772327.0,1153673.0
19,1176262.0,759835.0,1176262.0,1285768.0,754139.0,1285768.0,1177877.0,759755.0,1177877.0
20,1130119.0,758402.0,1130119.0,1201755.0,745550.0,1201755.0,1131519.0,756997.0,1131519.0
21,1160824.0,744386.0,1160824.0,1252333.0,749915.0,1252333.0,1160047.0,754729.0,1160047.0
22,1149571.0,765036.0,1149571.0,1173857.0,755462.0,1173857.0,1160308.0,756383.0,1160308.0
23,1137680.0,739302.0,1137680.0,1203319.0,733571.0,1203319.0,1139410.0,737947.0,1139410.0
24,1134818.0,769179.0,1134818.0,1151402.0,766362.0,1151402.0,1143757.0,759570.0,1143757.0
25,1101115.0,768836.0,1101115.0,1203182.0,763901.0,1203182.0,1113711.0,773321.0,1113711.0
26,1182967.0,755167.0,1182967.0,1320811.0,754812.0,1320811.0,1185491.0,757120.0,1185491.0
27,1146813.0,740824.0,1146813.0,1262140.0,735564.0,1262140.0,1159409.0,736116.0,1159409.0
28,1111907.0,738630.0,1111907.0,1251568.0,741210.0,1251568.0,1102135.0,744590.0,1102135.0
29,1106734.0,724551.0,1106734.0,1168778.0,729915.0,1168778.0,1218592.0,717757.0,1218592.0
30,1143817.0,752017.0,1143817.0,1251786.0,733285.0,1251786.0,1165447.0,733571.0,1165447.0
31,1179659.0,758635.0,1179659.0,1182747.0,755821.0,1182747.0,1179508.0,758791.0,1179508.0
32,1184637.0,803070.0,1184637.0,1230358.0,801370.0,1230358.0,1214985.0,804346.0,1214985.0
33,1132882.0,791199.0,1132882.0,1266271.0,784416.0,1266271.0,1214439.0,796336.0,1214439.0
34,1147640.0,743730.0,1147640.0,1168058.0,743042.0,1168058.0,1156946.0,751793.0,1156946.0
35,1130052.0,710567.0,1130052.0,1289802.0,701575.0,1289802.0,1138677.0,712850.0,1138677.0
36,1147432.0,767704.0,1147432.0,1319613.0,765006.0,1319613.0,1145972.0,765789.0,1145972.0
37,1126578.0,731868.0,1126578.0,1289170.0,730102.0,1289170.0,1141941.0,734119.0,1141941.0
38,1169838.0,798372.0,1169838.0,1166583.0,797502.0,1166583.0,1166065.0,807382.0,1166065.0
39,1175384.0,786155.0,1175384.0,1156878.0,785858.0,1156878.0,1173072.0,786558.0,1173072.0
40,1186038.0,768373.0,1186038.0,1249761.0,774700.0,1249761.0,1182555.0,771483.0,1182555.0
41,1122956.0,762407.0,1122956.0,1196170.0,762210.0,1196170.0,1120923.0,766089.0,1120923.0
42,1124064.0,741463.0,1124064.0,1216497.0,739166.0,1216497.0,1165146.0,749780.0,1165146.0
43,1129376.0,782911.0,1129376.0,1198268.0,782999.0,1198268.0,1131175.0,782518.0,1131175.0
44,1133389.0,728773.0,1133389.0,1249268.0,726975.0,1249268.0,1122608.0,731079.0,1122608.0
45,1105477.0,740773.0,1105477.0,1296160.0,738891.0,1296160.0,1109505.0,746366.0,1109505.0
46,1124094.0,763503.0,1124094.0,1218670.0,760182.0,1218670.0,1127055.0,760415.0,1127055.0
47,1116355.0,769485.0,1116355.0,1178970.0,771037.0,1178970.0,1132291.0,769485.0,1132291.0
48,1140462.0,782122.0,1140462.0,1158850.0,768241.0,1158850.0,1146975.0,784384.0,1146975.0
49,1163459.0,747742.0,1163459.0,1221262.0,749218.0,1221262.0,1318567.0,751095.0,1318567.0
50,1155762.0,745671.0,1155762.0,1314216.0,746779.0,1314216.0,1164718.0,747546.0,1164718.0
51,1124279.0,775099.0,1124279.0,1195122.0,788931.0,1195122.0,1127704.0,776651.0,1127704.0
52,1165928.0,767262.0,1165928.0,1214799.0,777339.0,1214799.0,1166225.0,763483.0,1166225.0
53,1152792.0,769895.0,1152792.0,1175512.0,764981.0,1175512.0,1158142.0,765547.0,1158142.0
54,1121243.0,753809.0,1121243.0,1232543.0,760540.0,1232543.0,1128385.0,754427.0,1128385.0
55,1140591.0,737543.0,1140591.0,1179146.0,720320.0,1179146.0,1181426.0,727434.0,1181426.0
56,1152439.0,769086.0,1152439.0,1149630.0,763374.0,1149630.0,1149064.0,766550.0,1149064.0
57,1143168.0,808121.0,1143168.0,1204605.0,753944.0,1204605.0,1123895.0,803510.0,1123895.0
58,1138842.0,760541.0,1138842.0,1156906.0,757760.0,1156906.0,1136659.0,761497.0,1136659.0
59,1127600.0,768735.0,1127600.0,1214842.0,765953.0,1214842.0,1207335.0,771602.0,1207335.0
60,1093278.0,770801.0,1093278.0,1124082.0,775873.0,1124082.0,1107162.0,773286.0,1107162.0
61,1125364.0,715990.0,1125364.0,1318436.0,747320.0,1318436.0,1140063.0,709815.0,1140063.0
62,1152112.0,783435.0,1152112.0,1153040.0,784107.0,1153040.0,1150146.0,783435.0,1150146.0
63,1150766.0,771268.0,1150766.0,1402903.0,767535.0,1402903.0,1164793.0,772595.0,1164793.0
64,1158802.0,750802.0,1158802.0,1172168.0,744916.0,1172168.0,1170044.0,749496.0,1170044.0
65,1142864.0,741413.0,1142864.0,1201928.0,756820.0,1201928.0,1144735.0,741413.0,1144735.0
66,1120167.0,743915.0,1120167.0,1213617.0,747519.0,1213617.0,1147908.0,739387.0,1147908.0
67,1174042.0,740562.0,1174042.0,1235765.0,732049.0,1235765.0,1305678.0,743751.0,1305678.0
68,1122085.0,747733.0,1122085.0,1211160.0,735205.0,1211160.0,1135809.0,745670.0,1135809.0
