,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,1150173.0,753710.0,1150173.0,1358755.0,751567.0,1358755.0,1151417.0,752064.0,1151417.0,1154675.0,753574.0,1154675.0,1270193.0,748987.0,1270193.0,1150173.0,753710.0,1150173.0
1,1153657.0,736095.0,1153657.0,1204981.0,731775.0,1204981.0,1166483.0,732811.0,1166483.0,1163538.0,735849.0,1163538.0,1187395.0,732839.0,1187395.0,1153657.0,736095.0,1153657.0
2,1188026.0,748778.0,1188026.0,1207135.0,741819.0,1207135.0,1180141.0,738539.0,1180141.0,1189704.0,741132.0,1189704.0,1375379.0,727485.0,1375379.0,1188026.0,748778.0,1188026.0
3,1165826.0,727590.0,1165826.0,1279481.0,726959.0,1279481.0,1161664.0,719757.0,1161664.0,1155758.0,733298.0,1155758.0,1212632.0,719043.0,1212632.0,1165826.0,727590.0,1165826.0
4,1127328.0,731448.0,1127328.0,1318812.0,705404.0,1318812.0,1106704.0,717166.0,1106704.0,1119433.0,723388.0,1119433.0,1138987.0,691561.0,1138987.0,1127328.0,731448.0,1127328.0
5,1131607.0,741213.0,1131607.0,1228934.0,738458.0,1228934.0,1137718.0,736765.0,1137718.0,1134893.0,740978.0,1134893.0,1260497.0,742969.0,1260497.0,1131607.0,741213.0,1131607.0
6,1205077.0,756160.0,1205077.0,1335609.0,750673.0,1335609.0,1216414.0,753338.0,1216414.0,1201960.0,753431.0,1201960.0,1352630.0,749047.0,1352630.0,1205077.0,756160.0,1205077.0
7,1120873.0,737218.0,1120873.0,1177249.0,729089.0,1177249.0,1125195.0,729888.0,1125195.0,1124856.0,736782.0,1124856.0,1244138.0,730361.0,1244138.0,1120873.0,737218.0,1120873.0
8,1176321.0,763832.0,1176321.0,1283350.0,759528.0,1283350.0,1162692.0,761768.0,1162692.0,1157202.0,761768.0,1157202.0,1245094.0,761768.0,1245094.0,1176321.0,763832.0,1176321.0
9,1146322.0,758579.0,1146322.0,1212503.0,757841.0,1212503.0,1132624.0,754919.0,1132624.0,1139630.0,761111.0,1139630.0,1218897.0,755112.0,1218897.0,1146322.0,758579.0,1146322.0
