,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,1218012.0,728895.0,1218012.0,1170057.0,724121.0,1170057.0,1186945.0,737794.0,1186945.0,1217829.0,724121.0,1217829.0,1198852.0,734353.0,1198852.0,1231350.0,730315.0,1231350.0
1,1302442.0,867920.0,1302442.0,1341355.0,765582.0,1341355.0,1290740.0,818869.0,1290740.0,1287849.0,820108.0,1287849.0,1333377.0,801359.0,1333377.0,1305847.0,853844.0,1305847.0
2,1326145.0,806857.0,1326145.0,1321113.0,724279.0,1321113.0,1218502.0,776973.0,1218502.0,1304959.0,784759.0,1304959.0,1262180.0,761843.0,1262180.0,1263386.0,811365.0,1263386.0
3,1331086.0,791395.0,1331086.0,1356714.0,773857.0,1356714.0,1357174.0,794240.0,1357174.0,1337460.0,802798.0,1337460.0,1307735.0,787724.0,1307735.0,1368081.0,852470.0,1368081.0
4,1309855.0,808629.0,1309855.0,1257691.0,787547.0,1257691.0,1309698.0,782772.0,1309698.0,1300374.0,781479.0,1300374.0,1277281.0,784126.0,1277281.0,1331685.0,822252.0,1331685.0
5,1349230.0,806342.0,1349230.0,1441449.0,765853.0,1441449.0,1339002.0,806158.0,1339002.0,1323061.0,806861.0,1323061.0,1364868.0,800190.0,1364868.0,1375115.0,835893.0,1375115.0
6,1233756.0,795437.0,1233756.0,1234553.0,761076.0,1234553.0,1251623.0,783670.0,1251623.0,1222445.0,819120.0,1222445.0,1228618.0,785356.0,1228618.0,1184429.0,854092.0,1184429.0
7,1330823.0,747348.0,1330823.0,1299937.0,751653.0,1299937.0,1311234.0,751907.0,1311234.0,1320788.0,747646.0,1320788.0,1312305.0,760378.0,1312305.0,1361620.0,772672.0,1361620.0
8,1257819.0,768181.0,1257819.0,1225354.0,676272.0,1225354.0,1323130.0,748742.0,1323130.0,1229621.0,765683.0,1229621.0,1340254.0,705015.0,1340254.0,1244889.0,768543.0,1244889.0
9,1334112.0,809362.0,1334112.0,1306365.0,753454.0,1306365.0,1307088.0,795634.0,1307088.0,1298387.0,795634.0,1298387.0,1301906.0,763541.0,1301906.0,1330959.0,798764.0,1330959.0
10,1319020.0,783386.0,1319020.0,1228167.0,760746.0,1228167.0,1233063.0,775394.0,1233063.0,1207176.0,781417.0,1207176.0,1239664.0,769296.0,1239664.0,1252447.0,822327.0,1252447.0
11,1362161.0,824830.0,1362161.0,1305357.0,777104.0,1305357.0,1311243.0,792024.0,1311243.0,1338858.0,819896.0,1338858.0,1261649.0,787094.0,1261649.0,1227374.0,845876.0,1227374.0
12,1352576.0,867613.0,1352576.0,1360660.0,789907.0,1360660.0,1286645.0,822732.0,1286645.0,1311310.0,840778.0,1311310.0,1338538.0,796696.0,1338538.0,1342569.0,854689.0,1342569.0
13,1266673.0,828018.0,1266673.0,1230601.0,752965.0,1230601.0,1230119.0,776128.0,1230119.0,1284232.0,783264.0,1284232.0,1312859.0,753203.0,1312859.0,1298848.0,798738.0,1298848.0
14,1241110.0,726531.0,1241110.0,1317302.0,727747.0,1317302.0,1227555.0,739044.0,1227555.0,1241636.0,739712.0,1241636.0,1215458.0,734114.0,1215458.0,1235444.0,764992.0,1235444.0
15,1342989.0,895443.0,1342989.0,1284175.0,758528.0,1284175.0,1327681.0,783496.0,1327681.0,1334351.0,783496.0,1334351.0,1313483.0,771773.0,1313483.0,1349909.0,891267.0,1349909.0
16,1297410.0,820381.0,1297410.0,1279350.0,733558.0,1279350.0,1278758.0,819885.0,1278758.0,1297410.0,820381.0,1297410.0,1248252.0,814955.0,1248252.0,1245735.0,828911.0,1245735.0
17,1284321.0,781676.0,1284321.0,1353779.0,753653.0,1353779.0,1270319.0,768776.0,1270319.0,1273112.0,755161.0,1273112.0,1287170.0,781665.0,1287170.0,1313666.0,807169.0,1313666.0
18,1305423.0,980160.0,1305423.0,1340034.0,747472.0,1340034.0,1262038.0,765553.0,1262038.0,1303826.0,790458.0,1303826.0,1283424.0,763507.0,1283424.0,1316091.0,908806.0,1316091.0
19,1347829.0,903775.0,1347829.0,1315117.0,740260.0,1315117.0,1333910.0,757529.0,1333910.0,1350112.0,770297.0,1350112.0,1319398.0,734361.0,1319398.0,1385577.0,812117.0,1385577.0
20,1220475.0,980623.0,1220475.0,1337718.0,763786.0,1337718.0,1318226.0,807808.0,1318226.0,1280936.0,816367.0,1280936.0,1352025.0,785915.0,1352025.0,1238763.0,842187.0,1238763.0
21,1315879.0,875668.0,1315879.0,1294399.0,762169.0,1294399.0,1281604.0,824231.0,1281604.0,1307052.0,875668.0,1307052.0,1272529.0,819227.0,1272529.0,1294889.0,878234.0,1294889.0
22,1342154.0,758259.0,1342154.0,1308715.0,771639.0,1308715.0,1318103.0,762311.0,1318103.0,1344118.0,761999.0,1344118.0,1306083.0,752156.0,1306083.0,1352049.0,770313.0,1352049.0
23,1368006.0,767916.0,1368006.0,1375600.0,765295.0,1375600.0,1361502.0,755584.0,1361502.0,1361502.0,760967.0,1361502.0,1388220.0,757352.0,1388220.0,1368880.0,765986.0,1368880.0
24,1306382.0,779570.0,1306382.0,1380503.0,753117.0,1380503.0,1273715.0,770945.0,1273715.0,1310031.0,797335.0,1310031.0,1273703.0,765260.0,1273703.0,1319024.0,811634.0,1319024.0
25,1132288.0,922563.0,1132288.0,1151907.0,711891.0,1151907.0,1145251.0,719074.0,1145251.0,1127677.0,895867.0,1127677.0,1131150.0,711927.0,1131150.0,1131224.0,779609.0,1131224.0
26,1347235.0,804720.0,1347235.0,1301268.0,777782.0,1301268.0,1307039.0,791391.0,1307039.0,1331876.0,815958.0,1331876.0,1301268.0,779678.0,1301268.0,1335813.0,817393.0,1335813.0
27,1269106.0,769674.0,1269106.0,1230129.0,726505.0,1230129.0,1281145.0,750830.0,1281145.0,1267031.0,754273.0,1267031.0,1386964.0,730653.0,1386964.0,1289596.0,807081.0,1289596.0
28,1337898.0,790402.0,1337898.0,1303204.0,712569.0,1303204.0,1294027.0,773954.0,1294027.0,1304112.0,803846.0,1304112.0,1359692.0,762209.0,1359692.0,1331579.0,816547.0,1331579.0
29,1216146.0,909010.0,1216146.0,1216797.0,693791.0,1216797.0,1233834.0,735028.0,1233834.0,1222107.0,764331.0,1222107.0,1204440.0,731052.0,1204440.0,1248973.0,860191.0,1248973.0
30,1301556.0,908709.0,1301556.0,1307653.0,732397.0,1307653.0,1240273.0,755716.0,1240273.0,1241891.0,767538.0,1241891.0,1217623.0,738063.0,1217623.0,1342383.0,784623.0,1342383.0
