,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,972544.0,907002.0,972544.0,1031535.0,870804.0,1031535.0,972544.0,907002.0,972544.0,972544.0,907002.0,972544.0,972544.0,907002.0,972544.0,972544.0,907002.0,972544.0
1,934839.0,842071.0,934839.0,990429.0,802086.0,990429.0,934839.0,842071.0,934839.0,934839.0,842071.0,934839.0,934839.0,842071.0,934839.0,934839.0,842071.0,934839.0
2,946699.0,813546.0,946699.0,957160.0,782613.0,957160.0,946699.0,813546.0,946699.0,946699.0,813546.0,946699.0,946699.0,813546.0,946699.0,946699.0,813546.0,946699.0
3,951063.0,792374.0,951063.0,948453.0,720928.0,948453.0,951063.0,792374.0,951063.0,951063.0,792374.0,951063.0,951063.0,792374.0,951063.0,951063.0,792374.0,951063.0
4,983937.0,918091.0,983937.0,974567.0,855443.0,974567.0,983937.0,918091.0,983937.0,983937.0,918091.0,983937.0,983937.0,918091.0,983937.0,983937.0,918091.0,983937.0
5,931565.0,869218.0,931565.0,976370.0,826485.0,976370.0,931565.0,869218.0,931565.0,931565.0,869218.0,931565.0,931565.0,869218.0,931565.0,931565.0,869218.0,931565.0
6,973359.0,853502.0,973359.0,980512.0,795459.0,980512.0,973359.0,853502.0,973359.0,973359.0,853502.0,973359.0,973359.0,853502.0,973359.0,973359.0,853502.0,973359.0
7,967961.0,838476.0,967961.0,1083411.0,781329.0,1083411.0,967961.0,838476.0,967961.0,967961.0,838476.0,967961.0,967961.0,838476.0,967961.0,967961.0,838476.0,967961.0
8,970031.0,886135.0,970031.0,1032385.0,857991.0,1032385.0,970031.0,886135.0,970031.0,970031.0,886135.0,970031.0,970031.0,886135.0,970031.0,970031.0,886135.0,970031.0
9,949974.0,834547.0,949974.0,966352.0,782353.0,966352.0,949974.0,834547.0,949974.0,949974.0,834547.0,949974.0,949974.0,834547.0,949974.0,949974.0,834547.0,949974.0
10,928035.0,798736.0,928035.0,960678.0,750397.0,960678.0,928035.0,798736.0,928035.0,928035.0,798736.0,928035.0,928035.0,798736.0,928035.0,928035.0,798736.0,928035.0
11,951748.0,903991.0,951748.0,975915.0,868945.0,975915.0,951748.0,903991.0,951748.0,951748.0,903991.0,951748.0,951748.0,903991.0,951748.0,951748.0,903991.0,951748.0
12,960239.0,918527.0,960239.0,1017085.0,849595.0,1017085.0,960239.0,918527.0,960239.0,960239.0,918527.0,960239.0,960239.0,918527.0,960239.0,960239.0,918527.0,960239.0
13,938259.0,875393.0,938259.0,954182.0,836826.0,954182.0,938259.0,875393.0,938259.0,938259.0,875393.0,938259.0,938259.0,875393.0,938259.0,938259.0,875393.0,938259.0
14,952039.0,874151.0,952039.0,979967.0,823631.0,979967.0,952039.0,874151.0,952039.0,952039.0,874151.0,952039.0,952039.0,874151.0,952039.0,952039.0,874151.0,952039.0
15,932734.0,902107.0,932734.0,1182697.0,887208.0,1182697.0,932734.0,902107.0,932734.0,932734.0,902107.0,932734.0,932734.0,902107.0,932734.0,932734.0,902107.0,932734.0
16,953419.0,905950.0,953419.0,979522.0,835307.0,979522.0,953419.0,905950.0,953419.0,953419.0,905950.0,953419.0,953419.0,905950.0,953419.0,953419.0,905950.0,953419.0
17,957491.0,825589.0,957491.0,1084349.0,713460.0,1084349.0,957491.0,825589.0,957491.0,957491.0,825589.0,957491.0,957491.0,825589.0,957491.0,957491.0,825589.0,957491.0
18,971657.0,885294.0,971657.0,1228789.0,828368.0,1228789.0,971657.0,885294.0,971657.0,971657.0,885294.0,971657.0,971657.0,885294.0,971657.0,971657.0,885294.0,971657.0
19,951748.0,828546.0,951748.0,959705.0,776834.0,959705.0,951748.0,828546.0,951748.0,951748.0,828546.0,951748.0,951748.0,828546.0,951748.0,951748.0,828546.0,951748.0
20,1002515.0,896069.0,1002515.0,1071903.0,840207.0,1071903.0,1002515.0,896069.0,1002515.0,1002515.0,896069.0,1002515.0,1002515.0,896069.0,1002515.0,1002515.0,896069.0,1002515.0
21,961128.0,853004.0,961128.0,957842.0,803531.0,957842.0,961128.0,853004.0,961128.0,961128.0,853004.0,961128.0,961128.0,853004.0,961128.0,961128.0,853004.0,961128.0
22,978092.0,933686.0,978092.0,1091125.0,871695.0,1091125.0,978092.0,933686.0,978092.0,978092.0,933686.0,978092.0,978092.0,933686.0,978092.0,978092.0,933686.0,978092.0
23,984000.0,834757.0,984000.0,1150584.0,756923.0,1150584.0,984000.0,834757.0,984000.0,984000.0,834757.0,984000.0,984000.0,834757.0,984000.0,984000.0,834757.0,984000.0
24,952960.0,872930.0,952960.0,1160641.0,824842.0,1160641.0,952960.0,872930.0,952960.0,952960.0,872930.0,952960.0,952960.0,872930.0,952960.0,952960.0,872930.0,952960.0
25,970196.0,846821.0,970196.0,998804.0,800298.0,998804.0,970196.0,846821.0,970196.0,970196.0,846821.0,970196.0,970196.0,846821.0,970196.0,970196.0,846821.0,970196.0
