,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,934657.0,744251.0,934657.0,940969.0,671465.0,940969.0,929478.0,680480.0,929478.0,0.1
2,938743.0,740941.0,938743.0,944732.0,681282.0,944732.0,931883.0,681282.0,931883.0,0.1
3,931988.0,753649.0,931988.0,926271.0,667301.0,926271.0,922676.0,688065.0,922676.0,0.1
4,928159.0,754299.0,928159.0,934362.0,674858.0,934362.0,938913.0,677158.0,938913.0,0.1
5,931107.0,744922.0,931107.0,939048.0,654805.0,939048.0,926856.0,670958.0,926856.0,0.1
6,934299.0,730801.0,934299.0,947655.0,655521.0,947655.0,940249.0,668871.0,940249.0,0.1
7,958961.0,761029.0,958961.0,943407.0,678862.0,943407.0,941682.0,683308.0,941682.0,0.1
8,941521.0,756993.0,941521.0,935444.0,673818.0,935444.0,930168.0,674614.0,930168.0,0.1
9,936683.0,759324.0,936683.0,940480.0,673745.0,940480.0,933774.0,673745.0,933774.0,0.1
10,933033.0,754663.0,933033.0,931740.0,678529.0,931740.0,934845.0,681772.0,934845.0,0.1
11,934463.0,752516.0,934463.0,948148.0,667089.0,948148.0,939604.0,668455.0,939604.0,0.1
12,941076.0,748439.0,941076.0,937799.0,679170.0,937799.0,934802.0,679382.0,934802.0,0.1
13,925929.0,751261.0,925929.0,924758.0,656825.0,924758.0,918739.0,669106.0,918739.0,0.1
14,924428.0,745633.0,924428.0,926911.0,681439.0,926911.0,931000.0,687387.0,931000.0,0.1
15,932837.0,746216.0,932837.0,940179.0,681879.0,940179.0,941021.0,681879.0,941021.0,0.1
16,933529.0,750197.0,933529.0,934738.0,673517.0,934738.0,925348.0,684137.0,925348.0,0.1
17,936381.0,752621.0,936381.0,939657.0,684809.0,939657.0,937902.0,684809.0,937902.0,0.1
18,953619.0,767018.0,953619.0,946201.0,680074.0,946201.0,940940.0,680074.0,940940.0,0.1
19,940955.0,748028.0,940955.0,945828.0,681701.0,945828.0,944684.0,681701.0,944684.0,0.1
20,927348.0,746416.0,927348.0,928169.0,673115.0,928169.0,927712.0,673115.0,927712.0,0.1
21,925151.0,735387.0,925151.0,934528.0,671087.0,934528.0,942567.0,671087.0,942567.0,0.1
22,926364.0,738929.0,926364.0,928536.0,671901.0,928536.0,929848.0,671901.0,929848.0,0.1
23,915789.0,748075.0,915789.0,908400.0,684331.0,908400.0,915526.0,684331.0,915526.0,0.1
24,936000.0,745083.0,936000.0,939518.0,681667.0,939518.0,934849.0,681667.0,934849.0,0.1
25,929780.0,753186.0,929780.0,933006.0,683693.0,933006.0,931813.0,683693.0,931813.0,0.1
26,932452.0,749174.0,932452.0,935573.0,679489.0,935573.0,934287.0,679779.0,934287.0,0.1
27,938086.0,736710.0,938086.0,942081.0,674624.0,942081.0,932599.0,674624.0,932599.0,0.1
28,923063.0,739050.0,923063.0,922629.0,675211.0,922629.0,926310.0,681266.0,926310.0,0.1
29,928844.0,745999.0,928844.0,929278.0,672264.0,929278.0,925065.0,672264.0,925065.0,0.1
30,924994.0,741694.0,924994.0,929773.0,684321.0,929773.0,936402.0,684321.0,936402.0,0.1
31,926563.0,739918.0,926563.0,931330.0,684504.0,931330.0,927007.0,684504.0,927007.0,0.1
32,935956.0,749597.0,935956.0,928204.0,684868.0,928204.0,927128.0,684868.0,927128.0,0.1
33,940414.0,760668.0,940414.0,928416.0,681674.0,928416.0,932615.0,681674.0,932615.0,0.1
34,920442.0,735573.0,920442.0,921193.0,682043.0,921193.0,919111.0,682043.0,919111.0,0.1
35,939376.0,749284.0,939376.0,929116.0,678919.0,929116.0,936756.0,678919.0,936756.0,0.1
36,941081.0,748017.0,941081.0,939982.0,679912.0,939982.0,942585.0,679912.0,942585.0,0.1
37,932453.0,727758.0,932453.0,942195.0,656155.0,942195.0,935877.0,661575.0,935877.0,0.1
