addr_str_x,Exam_ID,core_num,HI_DAG_ID,LO_DAG_ID,FIFO_MDATA_C1,FIFO_MDATA_C2,SELF_NP_MDATA_C1,SELF_NP_MDATA_C2,SELF_P_MDATA_C1,SELF_P_MDATA_C2,SELF_P4_MDATA_C1,SELF_P4_MDATA_C2,SELF_NP_C1_Impro,SELF_NP_C2_Impro,SELF_P_C1_Impro,SELF_P_C2_Impro,SELF_P4_C1_Impro,SELF_P4_C2_Impro,,,
hil_lol,1,100,153,450,709,489,709,489,709,489,709,489,0,0,0,0,0,0,,0,0
hil_lol,2,20,400,55,1252,602,1180,746,1180,746,1180,746,5.750798722,-23.92026578,5.750798722,-23.92026578,5.750798722,-23.92026578,,0,0
hil_lol,6,20,399,252,1659,1016,1659,1016,1659,1016,1659,1016,0,0,0,0,0,0,,0,0
hil_lol,8,20,403,166,1320,869,1278,1060,1278,1060,1278,1060,3.181818182,-21.97928654,3.181818182,-21.97928654,3.181818182,-21.97928654,,0,0
hil_lol,12,30,475,147,1442,679,1442,679,1442,679,1442,679,0,0,0,0,0,0,,0,0
hil_lol,19,30,403,273,1319,568,1278,578,1278,588,1278,588,3.108415466,-1.76056338,3.108415466,-3.521126761,3.108415466,-3.521126761,,-1.730103806,-1.730103806
hil_lol,21,10,166,153,586,1295,586,1295,586,1295,586,1295,0,0,0,0,0,0,,0,0
hil_lol,22,20,147,54,679,322,679,322,679,322,679,322,0,0,0,0,0,0,,0,0
hil_lol,24,20,260,472,660,2100,561,2087,554,2105,561,2087,15,0.619047619,16.06060606,-0.238095238,15,0.619047619,,0,-0.862482032
hil_lol,27,20,153,148,709,662,709,662,709,662,709,662,0,0,0,0,0,0,,0,0
hil_lol,28,20,259,47,804,428,758,474,758,474,758,474,5.721393035,-10.74766355,5.721393035,-10.74766355,5.721393035,-10.74766355,,0,0
hil_lol,29,20,148,400,574,1428,506,1336,506,1336,506,1336,11.8466899,6.442577031,11.8466899,6.442577031,11.8466899,6.442577031,,0,0
hil_lol,33,10,155,399,745,2404,745,2404,745,2404,745,2404,0,0,0,0,0,0,,0,0
hil_lol,36,20,366,261,1300,958,1300,958,1300,958,1300,958,0,0,0,0,0,0,,0,0
hil_lol,40,20,471,42,2541,316,2541,316,2541,316,2541,316,0,0,0,0,0,0,,0,0
hil_lol,46,20,366,255,1300,1033,1300,1033,1300,1033,1300,1033,0,0,0,0,0,0,,0,0
hil_lol,47,20,54,144,240,755,236,759,207,788,236,759,1.666666667,-0.529801325,13.75,-4.370860927,1.666666667,-0.529801325,,0,-3.820816864
hil_lol,49,20,396,471,1567,2541,1567,2541,1567,2541,1567,2541,0,0,0,0,0,0,,0,0
hil_lol,52,20,252,145,1016,710,1016,710,1016,710,1016,710,0,0,0,0,0,0,,0,0
hil_lol,55,30,145,259,506,794,483,758,483,800,483,758,4.545454545,4.534005038,4.545454545,-0.755667506,4.545454545,4.534005038,,0,-5.540897098
hil_lol,57,20,370,403,1008,1817,923,1686,923,1686,923,1686,8.432539683,7.209686296,8.432539683,7.209686296,8.432539683,7.209686296,,0,0
hil_lol,61,20,51,148,297,639,239,608,239,608,239,608,19.52861953,4.851330203,19.52861953,4.851330203,19.52861953,4.851330203,,0,0
hil_lol,67,20,370,255,1043,1321,923,1441,923,1441,923,1441,11.50527325,-9.084027252,11.50527325,-9.084027252,11.50527325,-9.084027252,,0,0
hil_lol,68,40,37,40,228,224,228,215,228,215,228,215,0,4.017857143,0,4.017857143,0,4.017857143,,0,0
hil_lol,69,40,469,433,1576,1499,1561,1502,1561,1499,1561,1499,0.95177665,-0.200133422,0.95177665,0,0.95177665,0,,0.199733688,0.199733688
hil_lol,72,10,57,474,347,2677,347,2677,347,2677,347,2677,0,0,0,0,0,0,,0,0
hil_lol,79,20,406,57,1031,561,966,764,966,764,966,764,6.304558681,-36.18538324,6.304558681,-36.18538324,6.304558681,-36.18538324,,0,0
hil_lol,87,20,42,253,316,854,316,747,316,747,316,747,0,12.529274,0,12.529274,0,12.529274,,0,0
hil_lol,90,30,364,270,919,674,870,701,870,706,870,706,5.331882481,-4.005934718,5.331882481,-4.747774481,5.331882481,-4.747774481,,-0.713266762,-0.713266762
hil_lol,93,10,144,474,673,3003,673,3003,673,3003,673,3003,0,0,0,0,0,0,,0,0
hil_lol,94,30,154,48,455,192,454,197,454,192,454,192,0.21978022,-2.604166667,0.21978022,0,0.21978022,0,,2.538071066,2.538071066
hil_lol,97,20,166,477,316,2563,297,2582,297,2582,297,2582,6.012658228,-0.741318767,6.012658228,-0.741318767,6.012658228,-0.741318767,,0,0
hil_lol,98,20,471,400,2541,1761,2541,1761,2541,1761,2541,1761,0,0,0,0,0,0,,0,0
hil_lol,99,40,37,55,228,181,228,157,228,157,228,157,0,13.25966851,0,13.25966851,0,13.25966851,,0,0
hil_lol,100,30,403,256,1292,758,1278,737,1278,739,1278,739,1.083591331,2.770448549,1.083591331,2.506596306,1.083591331,2.506596306,,-0.271370421,-0.271370421
hiw_low,3,130,426,276,164,239,162,218,148,218,162,218,1.219512195,8.786610879,9.756097561,8.786610879,1.219512195,8.786610879,,0,0
hiw_low,7,150,286,413,96,291,90,288,90,289,90,288,6.25,1.030927835,6.25,0.687285223,6.25,1.030927835,,0,-0.347222222
hiw_low,8,100,464,416,214,485,196,478,196,478,196,478,8.411214953,1.443298969,8.411214953,1.443298969,8.411214953,1.443298969,,0,0
hiw_low,16,130,410,448,384,360,374,346,374,345,374,345,2.604166667,3.888888889,2.604166667,4.166666667,2.604166667,4.166666667,,0.289017341,0.289017341
hiw_low,22,190,170,178,77,128,74,118,74,118,74,118,3.896103896,7.8125,3.896103896,7.8125,3.896103896,7.8125,,0,0
hiw_low,26,220,444,374,543,248,543,248,543,248,543,248,0,0,0,0,0,0,,0,0
hiw_low,40,220,499,457,175,258,167,231,167,229,167,229,4.571428571,10.46511628,4.571428571,11.24031008,4.571428571,11.24031008,,0.865800866,0.865800866
hiw_low,45,120,64,269,71,248,71,248,71,248,71,248,0,0,0,0,0,0,,0,0
hiw_low,50,120,385,71,132,194,117,196,117,196,117,196,11.36363636,-1.030927835,11.36363636,-1.030927835,11.36363636,-1.030927835,,0,0
hiw_low,54,130,445,460,451,280,444,261,444,264,444,264,1.55210643,6.785714286,1.55210643,5.714285714,1.55210643,5.714285714,,-1.149425287,-1.149425287
hiw_low,55,130,174,492,148,277,145,251,145,248,145,248,2.027027027,9.386281588,2.027027027,10.46931408,2.027027027,10.46931408,,1.195219124,1.195219124
hiw_low,60,110,444,376,547,294,543,280,543,274,543,274,0.731261426,4.761904762,0.731261426,6.802721088,0.731261426,6.802721088,,2.142857143,2.142857143
hiw_low,61,130,389,388,157,247,136,229,124,244,136,229,13.37579618,7.287449393,21.01910828,1.214574899,13.37579618,7.287449393,,0,-6.550218341
hiw_low,63,130,179,385,105,181,99,162,99,164,99,164,5.714285714,10.49723757,5.714285714,9.392265193,5.714285714,9.392265193,,-1.234567901,-1.234567901
hiw_low,71,250,495,424,160,200,141,185,141,190,141,190,11.875,7.5,11.875,5,11.875,5,,-2.702702703,-2.702702703
