,addr_str_x,Exam_ID,core_num,HI_DAG_ID,LO_DAG_ID,FIFO_MDATA_C1,FIFO_MDATA_C2,SELF_NP_MDATA_C1,SELF_NP_MDATA_C2,SELF_P_MDATA_C1,SELF_P_MDATA_C2,SELF_P4_MDATA_C1,SELF_P4_MDATA_C2,SELF_NP_C1_Impro,SELF_NP_C2_Impro,SELF_P_C1_Impro,SELF_P_C2_Impro,SELF_P4_C1_Impro,SELF_P4_C2_Impro
2,hiw_low,3,130,426,276,164,239,162,218,148,218,162,218,1.219512195,8.786610879,9.756097561,8.786610879,1.219512195,8.786610879
3,hiw_low,7,150,286,413,96,291,90,288,90,289,90,288,6.25,1.030927835,6.25,0.687285223,6.25,1.030927835
4,hiw_low,8,100,464,416,214,485,196,478,196,478,196,478,8.411214953,1.443298969,8.411214953,1.443298969,8.411214953,1.443298969
5,hiw_low,16,130,410,448,384,360,374,346,374,345,374,345,2.604166667,3.888888889,2.604166667,4.166666667,2.604166667,4.166666667
6,hiw_low,22,190,170,178,77,128,74,118,74,118,74,118,3.896103896,7.8125,3.896103896,7.8125,3.896103896,7.8125
7,hiw_low,26,220,444,374,543,248,543,248,543,248,543,248,0,0,0,0,0,0
8,hiw_low,28,120,413,169,265,126,258,102,258,143,258,143,2.641509434,19.04761905,2.641509434,-13.49206349,2.641509434,-13.49206349
9,hiw_low,31,220,456,283,148,168,132,158,131,185,131,185,10.81081081,5.952380952,11.48648649,-10.11904762,11.48648649,-10.11904762
10,hiw_low,33,220,467,280,138,182,112,163,111,185,111,185,18.84057971,10.43956044,19.56521739,-1.648351648,19.56521739,-1.648351648
12,hiw_low,39,220,389,428,134,169,123,161,123,182,123,182,8.208955224,4.733727811,8.208955224,-7.692307692,8.208955224,-7.692307692
13,hiw_low,40,220,499,457,175,258,167,231,167,229,167,229,4.571428571,10.46511628,4.571428571,11.24031008,4.571428571,11.24031008
14,hiw_low,44,220,465,63,152,136,139,127,139,150,139,150,8.552631579,6.617647059,8.552631579,-10.29411765,8.552631579,-10.29411765
15,hiw_low,45,120,64,269,71,248,71,248,71,248,71,248,0,0,0,0,0,0
16,hiw_low,50,120,385,71,132,194,117,196,117,196,117,196,11.36363636,-1.030927835,11.36363636,-1.030927835,11.36363636,-1.030927835
17,hiw_low,54,130,445,460,451,280,444,261,444,264,444,264,1.55210643,6.785714286,1.55210643,5.714285714,1.55210643,5.714285714
18,hiw_low,55,130,174,492,148,277,145,251,145,248,145,248,2.027027027,9.386281588,2.027027027,10.46931408,2.027027027,10.46931408
19,hiw_low,57,170,485,430,314,249,308,215,308,255,308,255,1.910828025,13.65461847,1.910828025,-2.409638554,1.910828025,-2.409638554
20,hiw_low,60,110,444,376,547,294,543,280,543,274,543,274,0.731261426,4.761904762,0.731261426,6.802721088,0.731261426,6.802721088
21,hiw_low,61,130,389,388,157,247,136,229,124,244,136,229,13.37579618,7.287449393,21.01910828,1.214574899,13.37579618,7.287449393
22,hiw_low,63,130,179,385,105,181,99,162,99,164,99,164,5.714285714,10.49723757,5.714285714,9.392265193,5.714285714,9.392265193
23,hiw_low,67,240,495,463,161,227,141,204,141,215,141,215,12.42236025,10.13215859,12.42236025,5.286343612,12.42236025,5.286343612
24,hiw_low,71,250,495,424,160,200,141,185,141,190,141,190,11.875,7.5,11.875,5,11.875,5
25,hiw_low,76,160,462,464,186,280,181,256,158,256,158,256,2.688172043,8.571428571,15.05376344,8.571428571,15.05376344,8.571428571
26,hiw_low,77,170,446,465,274,249,260,253,260,276,260,276,5.109489051,-1.606425703,5.109489051,-10.84337349,5.109489051,-10.84337349
27,hiw_low,79,120,285,266,129,306,105,292,105,301,105,292,18.60465116,4.575163399,18.60465116,1.633986928,18.60465116,4.575163399
28,hiw_low,83,170,160,394,162,147,162,145,162,157,162,157,0,1.360544218,0,-6.802721088,0,-6.802721088
29,hiw_low,84,130,374,482,255,389,248,353,248,385,248,353,2.745098039,9.254498715,2.745098039,1.028277635,2.745098039,9.254498715
30,hiw_low,98,70,444,285,564,330,543,331,543,329,543,329,3.723404255,-0.303030303,3.723404255,0.303030303,3.723404255,0.303030303
