,LP1_c1_surpass_rade,LP1_makespan,LP1_makespan_c1,LP1_makespan_c2,LP1_workload_rade,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_0,0.0,804050.0,549658.0,804050.0,98.05684735898944,0.0,804050.0,549658.0,804050.0,98.05684735898944,0.0,804050.0,549658.0,804050.0,98.05684735898944,3.164099799513053,771914.0,567618.0,771914.0,98.94418131122504,11.63310386516146,622018.0,722019.0,99.84144252434152,0.0,804050.0,549658.0,804050.0,98.05684735898944
new_1,0.0,552078.0,290490.0,552078.0,79.03630513637829,0.0,552078.0,290490.0,552078.0,79.03630513637829,0.0,552078.0,290490.0,552078.0,79.03630513637829,0.0,552078.0,290490.0,552078.0,79.03630513637829,0.0,290490.0,552078.0,79.03630513637829,0.0,556250.0,290490.0,556250.0,77.77440213253067
new_2,0.0,838310.0,574058.0,838310.0,99.99992736707084,0.0,838310.0,574058.0,838310.0,99.99992736707084,0.0,838310.0,574058.0,838310.0,99.99992736707084,0.0,838310.0,574058.0,838310.0,99.99992736707084,0.0,574058.0,838310.0,99.99992736707084,0.0,838310.0,574058.0,838310.0,99.99992736707084
new_3,10.24451849484944,836186.0,657210.0,836186.0,97.0091973783034,4.414038067027265,872282.0,617122.0,872282.0,99.45115074806084,4.414038067027265,872282.0,617122.0,872282.0,99.45115074806084,4.647659197522283,917250.0,618634.0,917250.0,99.24917162662015,12.924063451199672,677434.0,922194.0,99.5657230419952,0.0,841970.0,589882.0,841970.0,97.50099456536913
new_4,3.1911072163076475,896643.0,506658.0,896643.0,98.35098002654424,0.0,896642.0,490490.0,896642.0,98.94196739217274,0.0,896642.0,490490.0,896642.0,98.94196739217274,0.0,796643.0,490490.0,796643.0,99.03652584863084,3.1911072163076475,506658.0,896643.0,98.35098002654424,0.0,796643.0,490490.0,796643.0,99.03652584863084
new_5,0.0,936114.0,574058.0,936114.0,94.5111343339954,0.0,902422.0,574058.0,902422.0,95.5757858505528,0.0,902422.0,574058.0,902422.0,95.5757858505528,0.0,994339.0,574058.0,994339.0,97.8357736228104,0.0,574058.0,936114.0,94.5111343339954,0.0,902422.0,574058.0,902422.0,95.5757858505528
new_6,0.0,682174.0,549658.0,682174.0,99.82809117972342,0.0,682174.0,549658.0,682174.0,99.82809117972342,0.0,682174.0,549658.0,682174.0,99.82809117972342,0.0,682174.0,549658.0,682174.0,99.56342370352128,11.63310386516146,622018.0,701426.0,99.82809117972342,0.0,682174.0,549658.0,682174.0,99.82809117972342
new_7,5.664536477002792,1030186.0,701346.0,1030186.0,99.41411624088008,0.0,1018846.0,661618.0,1018846.0,99.43178631126668,0.0,1018846.0,661618.0,1018846.0,99.43178631126668,0.0,1032034.0,661618.0,1032034.0,99.65648477442066,6.135634290772998,704866.0,1030186.0,99.39782143038254,0.0,1018846.0,661618.0,1018846.0,99.43178631126668
new_8,0.0,390490.0,390490.0,189446.0,91.2288944892268,0.0,390490.0,390490.0,189446.0,91.2288944892268,0.0,390490.0,390490.0,189446.0,91.2288944892268,0.0,390490.0,390490.0,189446.0,91.2288944892268,0.0,390490.0,189446.0,91.2288944892268,0.0,390490.0,390490.0,189446.0,91.2288944892268
new_9,0.0,510490.0,290490.0,510490.0,75.21114676025566,0.0,510490.0,290490.0,510490.0,75.21114676025566,0.0,510490.0,290490.0,510490.0,75.21114676025566,0.0,510490.0,290490.0,510490.0,75.21114676025566,0.0,290490.0,510490.0,75.21114676025566,0.0,510490.0,290490.0,510490.0,75.21114676025566
