,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,LP5_c1_surpass_rade,LP5_makespan,LP5_makespan_c1,LP5_makespan_c2,LP5_workload_rade,LP6_c1_surpass_rade,LP6_makespan,LP6_makespan_c1,LP6_makespan_c2,LP6_workload_rade,LP7_c1_surpass_rade,LP7_makespan,LP7_makespan_c1,LP7_makespan_c2,LP7_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_12,0,1094034,689578,1094034,94.81041527,5.002410834,1182563,725890,1182563,88.55697487,1.147391991,1113691,697582,1113691,94.96438622,0,1094034,689578,1094034,94.81041527,0,1088063,689354,1088063,95.47451365,1.147391991,1094034,697582,1094034,95.12780356,4.208514268,719874,1188690,88.71371576,0,1094034,689578,1094034,94.81041527
new_442,0,404194,290490,404194,99.99984577,0,404194,290490,404194,99.99984577,0,367802,290490,367802,99.99984577,0,367802,290490,367802,99.99984577,0,367802,290490,367802,99.99984577,0,367802,290490,367802,99.99984577,0,290490,404194,99.99984577,0,367802,290490,367802,99.99984577
new_263,0,438878,406658,438878,98.38024114,0,406658,406658,278710,99.99985684,0,438878,406658,438878,98.38024114,0,438878,406658,438878,98.38024114,0,438878,406658,438878,98.38024114,0,438878,406658,438878,98.38024114,0,406658,278710,99.99985684,0,438878,406658,438878,98.38024114
new_453,0,472502,472502,205926,76.95724935,0,472502,472502,205926,76.95724935,0,472502,472502,205926,76.95724935,0,472502,472502,205926,76.95724935,0,472502,472502,205926,76.95724935,0,472502,472502,205926,76.95724935,0,472502,205926,76.95724935,0,472502,472502,205926,76.95724935
new_486,0,472502,472502,367802,99.29495768,0,472502,472502,367802,99.29495768,0,472502,472502,367802,99.29495768,0,472502,472502,367802,99.29495768,0,472502,472502,367802,99.29495768,0,472502,472502,367802,99.29495768,0,472502,367802,99.29495768,0,472502,472502,367802,99.29495768
new_468,0,478738,472502,478738,99.96824997,0,472502,472502,467226,99.96824997,0,478738,472502,478738,99.96824997,0,478738,472502,478738,99.96824997,0,478738,472502,478738,99.96824997,0,478738,472502,478738,99.96824997,0,472502,399102,99.96827566,0,478738,472502,478738,99.96824997
new_60,0,486498,290490,486498,99.99986214,0,486498,290490,486498,99.99986214,0,486498,290490,486498,99.99986214,0,486498,290490,486498,99.99986214,0,486498,290490,486498,99.99986214,0,486498,290490,486498,99.99986214,0,290490,486498,99.99986214,0,486498,290490,486498,99.99986214
new_103,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,390490,99.99989114,0,486498,486498,390490,99.99989114
new_278,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,486498,390490,99.99989114,0,486498,390490,99.99989114,0,486498,486498,390490,99.99989114
new_41,0,490490,390490,490490,99.99989833,0,490490,390490,490490,99.99989833,0,490490,390490,490490,99.99989833,0,490490,390490,490490,99.99989833,0,490490,390490,490490,99.99989833,0,490490,390490,490490,99.99989833,0,390490,490490,99.99989833,0,490490,390490,490490,99.99989833
new_207,0,490490,490490,390490,94.38674017,0,490490,490490,390490,94.38674017,0,490490,490490,390490,94.38674017,0,490490,490490,390490,94.38674017,0,490490,490490,390490,94.38674017,0,490490,490490,390490,94.38674017,0,490490,390490,94.38674017,0,490490,490490,390490,94.38674017
new_320,0,490490,490490,459102,99.99990036,0,546658,490490,546658,99.75420824,0,490490,490490,430490,99.99990036,0,490490,490490,459102,99.99990036,0,490490,490490,459102,99.99990036,0,490490,490490,459102,99.99990036,0,490490,430490,99.99990036,0,490490,490490,459102,99.99990036
new_232,0,494766,494766,367802,97.72614142,0,494766,494766,367802,97.72614142,0,494766,494766,367802,97.72614142,0,494766,494766,367802,97.72614142,0,494766,494766,367802,97.72614142,0,494766,494766,367802,97.72614142,0,494766,367802,97.72614142,0,494766,494766,367802,97.72614142
new_7,0,497594,290490,497594,88.32749616,0,497594,290490,497594,88.32749616,0,497594,290490,497594,88.32749616,0,497594,290490,497594,88.32749616,0,497594,290490,497594,88.32749616,0,497594,290490,497594,88.32749616,0,290490,497594,88.32749616,0,497594,290490,497594,88.32749616
new_369,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,486498,501202,84.30535409,0,501202,486498,501202,84.30535409
new_490,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,501202,486498,501202,84.30535409,0,486498,501202,84.30535409,0,501202,486498,501202,84.30535409
new_69,0,503466,503466,367802,99.02680312,0,503466,503466,367802,99.02680312,0,503466,503466,367802,99.02680312,0,503466,503466,367802,99.02680312,0,503466,503466,367802,99.02680312,0,503466,503466,367802,99.02680312,0,503466,367802,99.02680312,0,503466,503466,367802,99.02680312
new_112,0,519858,519858,501202,97.09379051,0,519858,519858,402486,97.03349954,0,519858,519858,501202,97.09379051,0,519858,519858,501202,97.09379051,0,519858,519858,501202,97.09379051,0,519858,519858,501202,97.09379051,6.542382022,556250,322711,97.22179842,0,519858,519858,501202,97.09379051
new_332,0,521114,290490,521114,94.56848981,0,521114,290490,521114,94.56848981,0,521114,290490,521114,94.56848981,0,521114,290490,521114,94.56848981,0,521114,290490,521114,94.56848981,0,521114,290490,521114,94.56848981,0,290490,521114,94.56848981,0,521114,290490,521114,94.56848981
new_216,0,526902,526902,354930,96.51120797,0,526902,526902,354930,96.51120797,0,526902,526902,354930,96.51120797,0,526902,526902,354930,96.51120797,0,526902,526902,354930,96.51120797,0,526902,526902,354930,96.51120797,0,526902,354930,96.51120797,0,526902,526902,354930,96.51120797
new_264,0,526902,526902,437958,90.15329506,0,526902,526902,437958,90.15329506,0,526902,526902,437958,90.15329506,0,526902,526902,437958,90.15329506,0,526902,526902,437958,90.15329506,0,526902,526902,437958,90.15329506,0,526902,437958,90.15329506,0,526902,526902,437958,90.15329506
new_312,0,526902,526902,354930,96.30809992,0,526902,526902,354930,96.30809992,0,526902,526902,354930,96.30809992,0,526902,526902,354930,96.30809992,0,526902,526902,354930,96.30809992,0,526902,526902,354930,96.30809992,0,526902,354930,96.30809992,0,526902,526902,354930,96.30809992
new_244,0,529814,501426,529814,93.76773346,0,501426,501426,278710,93.90815917,0,529814,501426,529814,93.76773346,0,529814,501426,529814,93.76773346,0,529814,501426,529814,93.76773346,0,529814,501426,529814,93.76773346,0,501426,278710,93.90815917,0,529814,501426,529814,93.76773346
new_35,0,535602,535602,367802,97.34569805,0,535602,535602,367802,97.34569805,0,535602,535602,367802,97.34569805,0,535602,535602,367802,97.34569805,0,535602,535602,367802,97.34569805,0,535602,535602,367802,97.34569805,0,535602,367802,97.34569805,0,535602,535602,367802,97.34569805
