improve,type
3.269216005,SELF-DAG1
4.154525619,SELF-DAG1
3.282819347,SELF-DAG1
3.32096861,SELF-DAG1
3.655012748,SELF-DAG1
4.687870421,SELF-DAG1
3.626963088,SELF-DAG1
3.559305485,SELF-DAG1
5.157793788,SELF-DAG1
3.500076372,SELF-DAG1
3.780226352,SELF-DAG1
5.000785277,SELF-DAG1
3.921686009,SELF-DAG1
4.708066704,SELF-DAG1
4.779187648,SELF-DAG1
3.715064707,SELF-DAG1
4.227792656,SELF-DAG1
4.530314569,SELF-DAG1
5.048932841,SELF-DAG1
4.519688286,SELF-DAG1
5.108301128,SELF-DAG1
4.915155638,SELF-DAG1
3.542488575,SELF-DAG1
7.286308752,SELF-DAG1
4.551320498,SELF-DAG1
3.507795493,SELF-DAG1
3.088073816,SELF-DAG1
3.637316708,SELF-DAG1
3.061957647,SELF-DAG1
3.508183265,SELF-DAG1
5.080749116,SELF-DAG1
3.704571511,SELF-DAG1
4.204136341,SELF-DAG1
4.469881983,SELF-DAG1
5.37907099,SELF-DAG1
4.767391638,SELF-DAG1
4.156048872,SELF-DAG1
3.262295082,SELF-DAG1
5.414627974,SELF-DAG1
4.018007504,SELF-DAG1
3.717570422,SELF-DAG1
5.500562227,SELF-DAG1
3.147184705,SELF-DAG1
4.613532034,SELF-DAG1
3.543002274,SELF-DAG1
3.329103719,SELF-DAG1
3.380735992,SELF-DAG1
16.10675006,SELF-DAG2
17.1344638,SELF-DAG2
9.209750344,SELF-DAG2
14.26129797,SELF-DAG2
10.61453953,SELF-DAG2
11.66349359,SELF-DAG2
13.73413665,SELF-DAG2
12.82719756,SELF-DAG2
16.01250099,SELF-DAG2
10.81465567,SELF-DAG2
21.08047942,SELF-DAG2
11.28628253,SELF-DAG2
10.35398089,SELF-DAG2
9.70647116,SELF-DAG2
11.2761693,SELF-DAG2
17.27907101,SELF-DAG2
12.39354212,SELF-DAG2
10.12667712,SELF-DAG2
16.9303297,SELF-DAG2
18.2162159,SELF-DAG2
15.37411545,SELF-DAG2
12.73669469,SELF-DAG2
14.45129218,SELF-DAG2
17.04380438,SELF-DAG2
15.56245667,SELF-DAG2
12.41540638,SELF-DAG2
15.48233884,SELF-DAG2
11.09947409,SELF-DAG2
13.00737117,SELF-DAG2
16.76010887,SELF-DAG2
17.41901191,SELF-DAG2
14.91928805,SELF-DAG2
17.18033486,SELF-DAG2
17.00992717,SELF-DAG2
19.38002878,SELF-DAG2
15.2297355,SELF-DAG2
16.85457563,SELF-DAG2
12.28654292,SELF-DAG2
14.08970892,SELF-DAG2
8.534534238,SELF-DAG2
15.87096974,SELF-DAG2
12.37576045,SELF-DAG2
15.34950286,SELF-DAG2
15.91566069,SELF-DAG2
16.17315212,SELF-DAG2
17.80441959,SELF-DAG2
12.27735468,SELF-DAG2
3.220090643,SELF-DAG3
6.169971864,SELF-DAG3
4.581977395,SELF-DAG3
5.483345125,SELF-DAG3
6.083592522,SELF-DAG3
6.30271026,SELF-DAG3
3.058456869,SELF-DAG3
3.9664915,SELF-DAG3
4.048236472,SELF-DAG3
4.744140151,SELF-DAG3
7.290479801,SELF-DAG3
3.509443409,SELF-DAG3
3.379089625,SELF-DAG3
