,improve,makespan1,makespan2,makespan3,number_of_edges,number_of_nodes,priotime,type1,type2,type3,,
0,97.1269097,3384,3384,3384,101,102,0.234039068,0.280467033,0.24733901,0.008058071,TRUE,TRUE
1,96.17051691,2110,2110,2110,124,102,0.290587664,0.248847961,0.310360909,0.009529591,TRUE,TRUE
2,96.06220694,1426,1426,1426,137,102,0.274029255,0.24243927,0.33588624,0.009546757,TRUE,TRUE
3,96.39561528,3384,3384,3384,101,102,0.268731356,0.237857342,0.308276176,0.008573294,TRUE,TRUE
4,96.42200121,2240,2240,2240,127,102,0.26889658,0.241183996,0.331181288,0.00862956,TRUE,TRUE
5,97.5664751,1375,1375,1375,133,102,0.21741581,0.33508563,0.24570775,0.008154392,TRUE,TRUE
6,97.43397593,3494,3494,3494,101,102,0.2313869,0.331831694,0.257240295,0.008514881,TRUE,TRUE
7,96.96789297,2297,2297,2297,123,102,0.22168684,0.331202984,0.252063036,0.010042429,TRUE,TRUE
8,97.46209656,1346,1346,1346,134,102,0.210448027,0.321285486,0.236685038,0.008153915,TRUE,TRUE
9,97.49978773,3305,3305,3305,101,102,0.217045307,0.320111752,0.232738733,0.008003473,TRUE,TRUE
10,97.40351149,2303,2303,2303,127,102,0.210921288,0.331960201,0.240361452,0.008619308,TRUE,TRUE
11,96.69715313,1233,1233,1233,131,102,0.284241438,0.24423337,0.330581427,0.008066654,TRUE,TRUE
12,96.51989508,875,875,875,165,102,0.280346155,0.244864941,0.327344179,0.008521557,TRUE,TRUE
13,97.29136624,853,853,853,161,102,0.279015541,0.243036747,0.344899654,0.006582975,TRUE,TRUE
14,97.98404899,855,855,855,164,102,0.229351521,0.331582546,0.26236248,0.006684542,TRUE,TRUE
15,97.99741724,836,836,836,142,102,0.277544975,0.340629816,0.238868952,0.006821394,TRUE,TRUE
16,97.21387624,860,860,860,149,102,0.280086756,0.235438585,0.360180616,0.00655961,TRUE,TRUE
17,96.86569906,820,820,820,144,102,0.279034376,0.24007678,0.322278976,0.007524729,TRUE,TRUE
18,97.62723509,894,894,894,289,102,0.305295229,0.337305784,0.256392717,0.008003473,TRUE,TRUE
19,97.84839966,843,843,843,288,102,0.233425617,0.348829508,0.325230837,0.007505417,TRUE,TRUE
20,97.71829875,853,853,853,359,102,0.312467337,0.350694656,0.268592834,0.008001804,TRUE,TRUE
21,97.80118978,907,907,907,257,102,0.233299971,0.342304945,0.325111389,0.007526636,TRUE,TRUE
22,96.93311407,847,847,847,292,102,0.304960728,0.261399508,0.349871874,0.008016825,TRUE,TRUE
23,98.16278374,809,809,809,288,102,0.231270552,0.354043007,0.322409391,0.006504536,TRUE,TRUE
24,97.40358335,861,861,861,220,102,0.290421009,0.327552557,0.249117136,0.008504629,TRUE,TRUE
25,97.81242749,836,836,836,380,102,0.249161243,0.365784645,0.333390713,0.008001804,TRUE,TRUE
26,97.17959791,840,840,840,332,102,0.30732131,0.266669512,0.363122702,0.007521152,TRUE,TRUE
27,97.97291794,844,844,844,288,102,0.236499786,0.34538126,0.323852301,0.007001162,TRUE,TRUE
28,97.59194354,829,829,829,340,102,0.308283329,0.348421574,0.262627125,0.008390188,TRUE,TRUE
