,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,938801.0,854130.0,938801.0,988247.0,803366.0,988247.0,958544.0,803366.0,958544.0,961151.0,820458.0,961151.0,975142.0,803366.0,975142.0,933900.0,854124.0,933900.0
1,914059.0,888232.0,914059.0,948986.0,849947.0,948986.0,946978.0,851255.0,946978.0,956578.0,867844.0,956578.0,1110259.0,849947.0,1110259.0,949794.0,888232.0,949794.0
2,960837.0,865473.0,960837.0,987703.0,799561.0,987703.0,959832.0,799561.0,959832.0,986058.0,846436.0,986058.0,1097574.0,799561.0,1097574.0,960837.0,865473.0,960837.0
3,950903.0,908160.0,950903.0,955215.0,856657.0,955215.0,1116233.0,868865.0,1116233.0,951029.0,898027.0,951029.0,954163.0,856999.0,954163.0,975936.0,908160.0,975936.0
4,962691.0,848746.0,962691.0,973561.0,783403.0,973561.0,984960.0,783403.0,984960.0,983219.0,829843.0,983219.0,972863.0,783403.0,972863.0,962691.0,848746.0,962691.0
5,996751.0,857880.0,996751.0,1084192.0,807455.0,1084192.0,1070545.0,807455.0,1070545.0,1014822.0,828164.0,1014822.0,1084192.0,807455.0,1084192.0,996751.0,854963.0,996751.0
6,937864.0,892140.0,937864.0,985394.0,831624.0,985394.0,966413.0,831624.0,966413.0,977244.0,878393.0,977244.0,956041.0,831624.0,956041.0,943435.0,892140.0,943435.0
7,954345.0,880882.0,954345.0,1003311.0,812990.0,1003311.0,1002988.0,812990.0,1002988.0,998317.0,854834.0,998317.0,1006292.0,812990.0,1006292.0,984903.0,880882.0,984903.0
8,927335.0,899842.0,927335.0,1076282.0,821441.0,1076282.0,1070204.0,821441.0,1070204.0,1038211.0,862619.0,1038211.0,1200404.0,821441.0,1200404.0,926803.0,882197.0,926803.0
9,936344.0,907061.0,936344.0,977451.0,843970.0,977451.0,972960.0,843970.0,972960.0,985871.0,885198.0,985871.0,942926.0,843970.0,942926.0,947742.0,907061.0,947742.0
